block,feature,ks_stat,p_value
1,V1,0.034210929653266775,1.2099015892345469e-09
1,V2,0.12760705712953394,5.17567477927204e-129
1,V3,0.11555333879631857,8.424990277738398e-106
1,V4,0.046551846953198806,1.7126231114709243e-17
1,V5,0.08926896917251129,3.0331797573945024e-63
1,V6,0.017728830946782292,0.006659306223542662
1,V7,0.02636133002693576,6.7063740019962275e-06
1,V8,0.07555704592818735,2.0771149273969827e-45
1,V9,0.44795085966760856,0.0
1,V10,0.23041516538991563,0.0
1,V11,0.21657412819409788,0.0
1,V12,0.5694323043773286,0.0
1,V13,0.40549889474523354,0.0
1,V14,0.4976843406696445,0.0
1,V15,0.1781108322854229,8.524133768007774e-252
1,V16,0.027373106048397933,2.5027557764476494e-06
1,V17,0.2381750608191639,0.0
1,V18,0.09737212311668314,3.444017548314598e-75
1,V19,0.03428750743742037,1.1001372326532763e-09
1,V20,0.04653831679509368,1.7521947933651674e-17
1,V21,0.15558490537816316,6.523383350319732e-192
1,V22,0.06592435737417857,1.1590927723320981e-34
1,V23,0.03029245361628713,1.1828125228154494e-07
1,V24,0.026911909342344664,3.940433945032762e-06
1,V25,0.05264812681650988,2.9501482064195893e-22
1,V26,0.06896059151785561,6.844466373430394e-38
1,V27,0.057340138705528454,2.5336972689998487e-26
1,V28,0.09705614556940301,1.053015546115919e-74
1,Amount,0.15564279821115162,4.6900380797781875e-192
2,V1,0.02791809425731892,5.334965411182126e-07
2,V2,0.12959733321891873,1.8642013532969302e-142
2,V3,0.1293507248655797,6.4934919100417625e-142
2,V4,0.06102577084432237,7.774444565589042e-32
2,V5,0.09974672645191915,1.9353339408412245e-84
2,V6,0.02358433091684392,4.0629816113384195e-05
2,V7,0.024471308194402575,1.7762017283400148e-05
2,V8,0.0962126446529008,1.398858683592569e-78
2,V9,0.48219459568514766,0.0
2,V10,0.22345323462919875,0.0
2,V11,0.24938507248795871,0.0
2,V12,0.6212910098054739,0.0
2,V13,0.4153762652838977,0.0
2,V14,0.5270729350972451,0.0
2,V15,0.19719055335467206,0.0
2,V16,0.02709626485470301,1.2832170266869863e-06
2,V17,0.2657750990789795,0.0
2,V18,0.08263737150913703,4.7059632906869724e-58
2,V19,0.031180877451578604,1.2631772257033599e-08
2,V20,0.042646085744359755,9.216123778431028e-16
2,V21,0.15544203117679245,4.3853966826651615e-205
2,V22,0.05128522064977836,1.319856997189642e-22
2,V23,0.020552926247765918,0.0005456104867585279
2,V24,0.025890702614692174,4.434451654212584e-06
2,V25,0.03783997360844815,1.683982821448346e-12
2,V26,0.07059563595279933,1.8125705800573704e-42
2,V27,0.05320572859497902,2.6774409396590684e-24
2,V28,0.10266477763568405,1.942367153931199e-89
2,Amount,0.14328708921556987,3.44616076677871e-174
3,V1,0.015790883259341415,0.014599265314431144
3,V2,0.07420609453599288,1.3793929081068816e-47
3,V3,0.119253227979979,1.9228712509132784e-122
3,V4,0.07989424365684727,4.2024011193821225e-55
3,V5,0.0878008356869596,1.7734296866578863e-66
3,V6,0.048619459746463645,1.1612188735076001e-20
3,V7,0.030520655697896137,2.1180878654656757e-08
3,V8,0.10763198012081154,9.166469951944729e-100
3,V9,0.48226215735490285,0.0
3,V10,0.2015542905699892,0.0
3,V11,0.2647106641417261,0.0
3,V12,0.6327418733267278,0.0
3,V13,0.407204105912743,0.0
3,V14,0.525347719114442,0.0
3,V15,0.2292373664236108,0.0
3,V16,0.028264390331283473,2.891256335994369e-07
3,V17,0.2769055387890153,0.0
3,V18,0.0707551638401614,2.6790027013606254e-43
3,V19,0.04459353213094952,1.8958875261360123e-17
3,V20,0.031740418976772,4.742161037451155e-09
3,V21,0.12616951882359462,4.680508197916055e-137
3,V22,0.03439600536729448,1.4886599520352628e-10
3,V23,0.027714738407517925,5.301744936411584e-07
3,V24,0.022579608841026944,8.605498576343941e-05
3,V25,0.03829547617843998,5.579717716364439e-13
3,V26,0.07022801913093091,1.1613778843553174e-42
3,V27,0.06924833605770364,1.722324936019958e-41
3,V28,0.10838700550129599,3.6320094956678103e-101
3,Amount,0.059817793663885316,4.626735648766356e-31
4,V1,0.3970871993072984,0.0
4,V2,0.06323847745198685,4.7941618237727624e-21
4,V3,0.5066222873554216,0.0
4,V4,0.13650035490832757,9.084773764082848e-97
4,V5,0.2816620959093874,0.0
4,V6,0.10868651403898211,2.031405374815086e-61
4,V7,0.16170239136931663,7.533984389089246e-136
4,V8,0.17480848608430016,7.587327316081717e-159
4,V9,0.10201281228698744,3.8310857735785485e-54
4,V10,0.06708639646184167,1.2403790291459196e-23
4,V11,0.1741772471549391,1.0711958841512534e-157
4,V12,0.018854884933414195,0.029215171083053715
4,V13,0.038997003727275104,2.8813987884102866e-08
4,V14,0.04135441372663902,3.042674242878216e-09
4,V15,0.2627421455752893,0.0
4,V16,0.027402525696761826,0.00026762468502397905
4,V17,0.13716273619090713,1.0404764615535115e-97
4,V18,0.1164236499909001,1.9489161067626774e-70
4,V19,0.06242010704506529,1.626229763833259e-20
4,V20,0.1708863061810204,9.015649679592009e-152
