case,protocol,feature,value,shap,pushes
caught_fraud,chronological,V14,-6.1061832734711,3.0828142,toward fraud
caught_fraud,chronological,V10,-4.44148408070017,2.0859447,toward fraud
caught_fraud,chronological,V12,-3.80546898374331,1.340698,toward fraud
caught_fraud,chronological,V4,3.24681566349703,0.9737611,toward fraud
caught_fraud,chronological,V17,-2.08406707082134,0.7040472,toward fraud
caught_fraud,chronological,V8,-0.0489639910109505,0.3691688,toward fraud
