mode,seed,test_block,n_train,n_test,train_blocks,test_frauds,train_fraud_rate_pct,test_fraud_rate_pct,pr_auc,roc_auc,mcc,precision,recall,fit_seconds
static,42,2,17482,29707,2,65,0.4633337146779545,0.21880364897162285,0.8263860605775495,0.9952530972165274,0.77463355448221,0.8135593220338984,0.7384615384615385,0.2
static,42,3,17482,31086,2,45,0.4633337146779545,0.1447596988998263,0.6894671415917836,0.9339364782778332,0.5810452843868532,0.8947368421052632,0.37777777777777777,0.2
static,42,4,17482,32132,2,43,0.4633337146779545,0.13382298020664757,0.7487431611995303,0.9482272052945768,0.6097378155717367,1.0,0.37209302325581395,0.2
static,42,5,17482,33827,2,38,0.4633337146779545,0.1123362994058001,0.6997348779590326,0.9572509583467681,0.5861489058453493,0.9333333333333333,0.3684210526315789,0.2
static,42,6,17482,9116,2,43,0.4633337146779545,0.4716981132075472,0.8326226330990832,0.9927666805933271,0.7935128062907297,0.9354838709677419,0.6744186046511628,0.2
static,42,7,17482,8556,2,23,0.4633337146779545,0.2688172043010753,0.8512532025899803,0.977988270601603,0.7532365357676604,0.9333333333333333,0.6086956521739131,0.2
static,42,8,17482,29607,2,21,0.4633337146779545,0.07092917215523356,0.6966853144391154,0.9441434655387201,0.5772137175047694,1.0,0.3333333333333333,0.2
static,42,9,17482,32509,2,38,0.4633337146779545,0.11689070718877849,0.7526215243554596,0.9754995955905594,0.606752788202651,1.0,0.3684210526315789,0.2
static,42,10,17482,32914,2,54,0.4633337146779545,0.16406392416600837,0.8173731847001529,0.9826553729627376,0.7450839482086735,1.0,0.5555555555555556,0.2
static,42,11,17482,26790,2,22,0.4633337146779545,0.08212019410227697,0.5421553477424264,0.9548519602782155,0.5274449895661995,0.875,0.3181818181818182,0.2
static,43,2,17482,29707,2,65,0.4633337146779545,0.21880364897162285,0.8022264980317931,0.9954954767922853,0.768128995712866,0.8,0.7384615384615385,0.2
