protocol,model,threshold,cost_default,cost_tuned,gain,ci_lo,ci_hi,significant
stratified,xgboost,0.1,4793.84,4699.34,94.5,-191.22849999999983,603.0972500000003,False
stratified,random_forest,0.34,5653.4800000000005,4652.5599999999995,1000.920000000001,-66.66600000000004,2380.4435,False
stratified,logistic_regression,0.03,10986.18,4990.27,5995.91,1774.3349999999991,11886.71,True
stratified,dnn,0.09,5874.219999999999,4604.869999999999,1269.3500000000004,494.8959999999996,2195.571,True
chronological,xgboost,0.24,4467.960000000001,4264.540000000001,203.42000000000007,-79.7439999999998,716.5270000000002,False
chronological,random_forest,0.26,4764.86,3131.67,1633.1899999999996,122.23724999999978,4030.50725,True
chronological,logistic_regression,0.02,7053.910000000001,3764.7400000000002,3289.1700000000005,456.3357500000002,7222.411499999999,True
chronological,dnn,0.17,4548.1900000000005,3526.4399999999996,1021.7500000000009,-25.029999999999745,3022.1792499999997,False
