mode,seed,test_block,n_train,n_test,train_blocks,test_frauds,train_fraud_rate_pct,test_fraud_rate_pct,pr_auc,roc_auc,mcc,precision,recall,fit_seconds
static,42,2,78275,65959,2,81,0.24401149792398596,0.12280355978714048,0.7889128164149721,0.9515713483097638,0.7860577188174684,0.9629629629629629,0.6419753086419753,0.4
static,42,3,78275,17672,2,66,0.24401149792398596,0.37347215934812134,0.8041628620357406,0.9927228665158916,0.829312531552213,0.9090909090909091,0.7575757575757576,0.4
static,42,4,78275,62116,2,59,0.24401149792398596,0.09498357911005216,0.7480491125669401,0.9690118133602158,0.7741159989131736,0.9069767441860465,0.6610169491525424,0.4
static,42,5,78275,59704,2,76,0.24401149792398596,0.12729465362454778,0.7811938154948463,0.9840758315591757,0.7792312077431998,0.9423076923076923,0.6447368421052632,0.4
static,43,2,78275,65959,2,81,0.24401149792398596,0.12280355978714048,0.7914082809309845,0.9558414937600704,0.7938641318477402,0.9636363636363636,0.654320987654321,0.4
static,43,3,78275,17672,2,66,0.24401149792398596,0.37347215934812134,0.8115174972417032,0.9924448965400914,0.8201874487220726,0.9074074074074074,0.7424242424242424,0.4
static,43,4,78275,62116,2,59,0.24401149792398596,0.09498357911005216,0.7498947542870923,0.96802392988622,0.7676224114261638,0.8695652173913043,0.6779661016949152,0.4
static,43,5,78275,59704,2,76,0.24401149792398596,0.12729465362454778,0.7815345338530619,0.9835549485759075,0.7661784688017609,0.8928571428571429,0.6578947368421053,0.4
static,44,2,78275,65959,2,81,0.24401149792398596,0.12280355978714048,0.7902444431856818,0.9548857427815501,0.8015951295464081,0.9642857142857143,0.6666666666666666,0.4
static,44,3,78275,17672,2,66,0.24401149792398596,0.37347215934812134,0.8143910026704023,0.9921738112695742,0.8383420509296315,0.9107142857142857,0.7727272727272727,0.4
static,44,4,78275,62116,2,59,0.24401149792398596,0.09498357911005216,0.7450283969237691,0.9709406032671439,0.7631853105315585,0.9047619047619048,0.6440677966101694,0.4
