protocol,model,train_pr_auc,oof_pr_auc,test_pr_auc,train_minus_test,oof_minus_test
stratified,xgboost,0.8967190634931075,0.8370479556493479,0.8129283869404191,0.08379067655268835,0.02411956870892873
stratified,random_forest,0.8891777205815947,0.8238222936941416,0.7877870259570996,0.10139069462449513,0.03603526773704202
stratified,logistic_regression,0.7590348142136272,0.7518033773765713,0.6825811762838582,0.076453637929769,0.06922220109271315
chronological,xgboost,0.8809322088883991,0.7908230159108488,0.7987091890166662,0.08222301987173286,-0.007886173105817407
chronological,random_forest,0.8509790970420035,0.7742517788286933,0.7664828791647399,0.08449621787726358,0.0077688996639534436
chronological,logistic_regression,0.7439327783265816,0.6847345431734511,0.737271372067696,0.0066614062588855605,-0.052536828894244936
