protocol,n_trees,train_pr_auc,heldout_pr_auc
stratified,1,0.03798407690525877,0.0332359392218342
stratified,2,0.08024643003856617,0.06977020446740106
stratified,3,0.15497808640516805,0.14393791267875922
stratified,4,0.5747273063232587,0.5194742312899578
stratified,5,0.7266893144059462,0.6435457685951217
stratified,6,0.7255628667544386,0.6475290255909921
stratified,7,0.7312659954710053,0.6504545811427771
stratified,8,0.7305022693551785,0.6593359200587535
stratified,9,0.7358496346358901,0.6615771872470414
stratified,10,0.7389775677114588,0.6643267043727978
stratified,11,0.7404678024824275,0.6656022898662302
stratified,12,0.7416058611614362,0.6655213025153007
stratified,13,0.7430464035626767,0.6686391687505608
stratified,14,0.7416299633694249,0.6668276808825442
stratified,15,0.7428008632271673,0.667812791673931
stratified,16,0.742681508423932,0.6681499883611793
stratified,17,0.7895932277912643,0.7281757348632282
stratified,18,0.7920757041376852,0.7308388003395846
stratified,19,0.7934609809259594,0.7315101241436635
stratified,20,0.7941112263042182,0.7351407122064475
stratified,21,0.794993666357322,0.7355394493361861
stratified,22,0.796566824581145,0.7321979980037403
stratified,23,0.7986468070196834,0.7381940631197432
stratified,24,0.8036640673155916,0.7530054385331842
stratified,25,0.8055596177899491,0.7543546965402789
stratified,26,0.807366342212989,0.7551725580186921
stratified,27,0.8099583343098157,0.7559721379012573
stratified,28,0.8117858474589467,0.7567943106351529
stratified,29,0.8142063839548396,0.7602008427148643
stratified,30,0.8148214925587869,0.7627682394219366
stratified,31,0.8156877120688514,0.7625314704089295
stratified,32,0.8201546774007146,0.7612645269404931
stratified,33,0.8209028501732927,0.7620160307484798
stratified,34,0.8218461041084034,0.7629165030647466
stratified,35,0.8225872870348773,0.7637992893706467
stratified,36,0.8236148221325158,0.7636309827879548
stratified,37,0.8256341191533773,0.7636148968176507
stratified,38,0.8266240408926009,0.7647161578977435
stratified,39,0.8279510619348955,0.7694580278618298
stratified,40,0.8286399262488903,0.7709574754543258
stratified,41,0.8289198382514309,0.7726663837656501
stratified,42,0.8289117865095095,0.7724231990564795
stratified,43,0.8303885266662313,0.7729376992366203
stratified,44,0.8306576650516814,0.7730854453153271
stratified,45,0.8314138584936405,0.7738791040044095
stratified,46,0.8314603299795068,0.7739897972970606
stratified,47,0.8317939767838625,0.7738194196219643
stratified,48,0.8321987738500911,0.7737941994718157
stratified,49,0.8328012065840906,0.7744997956154748
stratified,50,0.8327571134169751,0.7739171114667794
stratified,51,0.8341861816410048,0.7742990177173978
stratified,52,0.8352912194775188,0.7748497516196566
stratified,53,0.8358045000829264,0.7755252978569325
stratified,54,0.8359309437855794,0.7759201252329263
stratified,55,0.8368460375857893,0.7756442451634049
stratified,56,0.8375089856672163,0.7759688434846757
stratified,57,0.8381954631946505,0.7767622892213931
stratified,58,0.8384615716865029,0.7764137494903837
stratified,59,0.8395479033987061,0.7766601256059126
stratified,60,0.8400335388168473,0.7773749810324735
stratified,61,0.8409929755186741,0.7777680983869389
stratified,62,0.8412059903216802,0.7778389272770166
stratified,63,0.841662069634407,0.7781900815957112
stratified,64,0.8425141302987251,0.7786603751201303
stratified,65,0.8431331799099803,0.7784168157915062
