protocol,config,train_pr_auc,cv_mean,cv_sd,cv_se,train_minus_cv,n_trees,test_pr_auc
stratified,baseline (tuned),0.9960378750170116,0.8511518394799189,0.02728455115268275,0.012202022222593773,0.14488603553709267,300,0.8330321077464234
stratified,shallow depth=3,0.92253292800346,0.8419600404951787,0.02965083720498818,0.013260257516026686,0.08057288750828129,300,0.8124978165060002
stratified,depth=4,0.9728207894382339,0.8472305478870318,0.028436786898809463,0.012717317713482678,0.12559024155120213,300,0.8303619760842083
stratified,min_child_weight=10,0.907904087642856,0.8442105147026322,0.031452906424221855,0.01406616737089998,0.06369357294022382,300,0.8191994179547665
stratified,min_child_weight=25,0.8588964178164276,0.8221670649046846,0.043213850359920106,0.019325821394857022,0.03672935291174295,300,0.7889493928053753
stratified,L2 lambda=10,0.9503883953377819,0.8437908351908776,0.02811900814440467,0.012575202734151813,0.10659756014690425,300,0.8221858106148113
stratified,L1 alpha=5,0.9415305389505682,0.8405457272356257,0.030439008768224633,0.013612738554692484,0.10098481171494245,300,0.8247166004416526
stratified,gamma=2,0.9887724741679924,0.8474832739933692,0.027014365545846443,0.012081191545908171,0.1412892001746232,300,0.832161106446287
stratified,subsample 0.6,0.9909694415577865,0.8476254835935662,0.029071310851733694,0.01300108545190077,0.1433439579642204,300,0.8317541501358843
stratified,slow lr=0.01,0.9301115229302429,0.8395271782995133,0.026635317261636357,0.011911675999858488,0.09058434463072962,300,0.8116201769741829
stratified,moderate combined,0.8923869464391171,0.8390697086272096,0.030975301075616433,0.013852575765720139,0.05331723781190745,300,0.8110385270689932
stratified,strong combined,0.8449501712337667,0.805917334755541,0.039883175005187774,0.017836298094024077,0.03903283647822575,300,0.7795655293389885
stratified,early stopping,0.954989240398341,0.8465975919504303,0.031503125119435746,0.0140886258541479,0.10839164844791072,189,0.8178247011921952
chronological,baseline (tuned),0.9995042164533661,0.8074349918580779,0.01496583286564054,0.006692923925494545,0.1920692245952882,400,0.7952233989237154
chronological,shallow depth=3,0.9467932999623777,0.8029045497337334,0.015888225189301032,0.007105430313020314,0.14388875022864434,400,0.7939767690710636
chronological,depth=4,0.9907510521972723,0.8067119365908884,0.013439505801995334,0.006010329711452878,0.18403911560638397,400,0.7946306682761474
chronological,min_child_weight=10,0.9271885788362243,0.8052799171425218,0.017164139433217245,0.007676036509591694,0.12190866169370251,400,0.800560854874457
chronological,min_child_weight=25,0.8692628272103662,0.7943491868923633,0.011204648956889857,0.0050108713463255655,0.07491364031800285,400,0.7896826880557598
chronological,L2 lambda=10,0.9690096177458751,0.8081546992137106,0.015348908279966877,0.006864240458883062,0.1608549185321645,400,0.7881806565653643
chronological,L1 alpha=5,0.9565643628254824,0.8032578335388733,0.015952390252074105,0.00713412580144854,0.15330652928660915,400,0.7912008261231296
chronological,gamma=2,0.9906539231114675,0.8058582398503624,0.01442655693103172,0.006451752395811534,0.18479568326110507,400,0.7963288936972054
chronological,subsample 0.6,0.9983634884618389,0.8071569605968303,0.01545516829944402,0.00691176138425133,0.19120652786500858,400,0.8049245052170585
chronological,slow lr=0.01,0.9437732715861513,0.7932615883079255,0.026581705469266723,0.011887700077431668,0.15051168327822584,400,0.8021731987004544
chronological,moderate combined,0.9102932154906458,0.8048383820385656,0.01634176635243977,0.007308260087294822,0.10545483345208018,400,0.800095673905395
chronological,strong combined,0.8532526264625516,0.7877249106808576,0.022331644278902,0.009987014931393829,0.06552771578169403,400,0.7830589444447938
chronological,early stopping,0.9788293311548204,0.7585659494215242,0.058624421293632045,0.026217638230829482,0.22026338173329618,266,0.7962794626135158
