model,protocol,config,params,train_pr_auc,cv_mean,cv_sd,cv_se,gap
random_forest,stratified,search 03,"{""n_estimators"": 100, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 4}",0.8386619177451734,0.8142503243869245,0.03777833708723478,0.016894985960791673,0.02441159335824894
random_forest,stratified,search 04,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.7, ""max_features"": 0.3, ""max_depth"": 8}",0.8622643453953467,0.8133485728782652,0.04221794889069776,0.018880440718042405,0.04891577251708146
random_forest,stratified,search 05,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": ""sqrt"", ""max_depth"": 4}",0.8321015303356766,0.8042951975068263,0.036085371243005544,0.016137868618535296,0.027806332828850255
random_forest,stratified,search 06,"{""n_estimators"": 100, ""min_samples_leaf"": 40, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 4}",0.8199363967560072,0.7894723950507767,0.03795808728320834,0.016975372692224832,0.030464001705230448
random_forest,stratified,search 07,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": 0.3, ""max_depth"": 8}",0.8533520588493124,0.804089818440444,0.04135237204786191,0.018493342985976283,0.049262240408868396
random_forest,stratified,search 08,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.8282836161035543,0.7924727326597033,0.03803800486315657,0.017011112920497132,0.03581088344385097
random_forest,stratified,search 09,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_samples"": 0.5, ""max_features"": 0.5, ""max_depth"": 8}",0.8891777205815947,0.8229282476053082,0.03994109252921352,0.017862199598186086,0.06624947297628647
random_forest,stratified,search 10,"{""n_estimators"": 100, ""min_samples_leaf"": 40, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.8027343481605375,0.7485554074605915,0.03971103033839431,0.017759312658641228,0.054178940699946
random_forest,stratified,search 11,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": 0.3, ""max_depth"": 4}",0.8418099255360441,0.8155386224900372,0.041573410159876825,0.018592194234792997,0.02627130304600689
random_forest,stratified,search 12,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 6}",0.8554525674479524,0.8160496373240154,0.04066552793260252,0.018186176959643145,0.03940293012393703
random_forest,stratified,search 13,"{""n_estimators"": 200, ""min_samples_leaf"": 40, ""max_samples"": 0.7, ""max_features"": 0.5, ""max_depth"": 10}",0.8402947804558648,0.7897074556242835,0.041596906522561865,0.018602702127630544,0.05058732483158135
random_forest,stratified,search 14,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": 0.5, ""max_depth"": 4}",0.8480600557666678,0.819116625355927,0.04064041249621318,0.018174944995032916,0.028943430410740767
random_forest,stratified,search 15,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.9040900549513484,0.8273343460116223,0.03769285429693729,0.016856756894789365,0.07675570893972616
random_forest,stratified,search 16,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 4}",0.809671012087748,0.7840529162790036,0.03980422800310809,0.017800991921370076,0.025618095808744412
random_forest,stratified,search 17,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.9075251257377221,0.8303202422556811,0.03973383549372345,0.01776951143415191,0.07720488348204102
random_forest,stratified,search 18,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.8713460100829605,0.8137907639653189,0.038178297811948564,0.017073853834549693,0.05755524611764162
random_forest,stratified,search 19,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.8486730466127118,0.8118765944713926,0.04073997026122233,0.018219468581082598,0.036796452141319214
random_forest,chronological,phase3 anchor,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.9186076452395305,0.7920433883009994,0.025029963972534222,0.01119374018339144,0.12656425693853113
random_forest,chronological,search 00,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 4}",0.8346033535181944,0.7822643744541155,0.03364392329719956,0.015046019904465417,0.05233897906407892
random_forest,chronological,search 01,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.7, ""max_features"": ""sqrt"", ""max_depth"": 8}",0.8488284727870065,0.7867421522681849,0.03389664936240342,0.01515904243676179,0.06208632051882157
random_forest,chronological,search 02,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 10}",0.9259054658971066,0.7975158112198704,0.021776105120824403,0.009738570267068926,0.1283896546772363
random_forest,chronological,search 03,"{""n_estimators"": 100, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 4}",0.8384109491218223,0.7858881451801478,0.0321698525895532,0.014386795443277717,0.05252280394167452
random_forest,chronological,search 04,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.7, ""max_features"": 0.3, ""max_depth"": 8}",0.8624134128186927,0.78885454189951,0.030172214756458222,0.013493424645432569,0.07355887091918267
random_forest,chronological,search 05,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": ""sqrt"", ""max_depth"": 4}",0.8302576578138047,0.7826932785391909,0.035741205608910045,0.015983953067863925,0.047564379274613766
random_forest,chronological,search 06,"{""n_estimators"": 100, ""min_samples_leaf"": 40, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 4}",0.8203800238952611,0.773895607778645,0.04558975884681441,0.02038835997185989,0.046484416116616134
random_forest,chronological,search 07,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": 0.3, ""max_depth"": 8}",0.8514861969739707,0.7806657873262153,0.038198946604118024,0.017083088255138528,0.07082040964775538
random_forest,chronological,search 08,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.827038119436938,0.7797969750278806,0.034106186067104034,0.015252750099860164,0.047241144409057356
random_forest,chronological,search 09,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_samples"": 0.5, ""max_features"": 0.5, ""max_depth"": 8}",0.8839508232859479,0.7900384260751446,0.03356910035790627,0.015012558068758187,0.09391239721080324
random_forest,chronological,search 10,"{""n_estimators"": 100, ""min_samples_leaf"": 40, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.807682940546416,0.7807675906119641,0.04326818702047476,0.019350121488191128,0.026915349934451882
random_forest,chronological,search 11,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": 0.3, ""max_depth"": 4}",0.8405809385396302,0.787570874056151,0.03291493205540589,0.014720005110134889,0.053010064483479225
random_forest,chronological,search 12,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 0.3, ""max_depth"": 6}",0.8509790970420035,0.789110963623298,0.030969315696045916,0.013849899022601976,0.06186813341870545
random_forest,chronological,search 13,"{""n_estimators"": 200, ""min_samples_leaf"": 40, ""max_samples"": 0.7, ""max_features"": 0.5, ""max_depth"": 10}",0.8478948108713728,0.7679208573691774,0.04858946019766344,0.021729867198399165,0.07997395350219538
random_forest,chronological,search 14,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": 0.5, ""max_depth"": 4}",0.8459709436783954,0.7850232518678634,0.03663473515207025,0.016383551627546032,0.060947691810532056
random_forest,chronological,search 15,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.9064573367595484,0.7903462337955305,0.031864373971725805,0.014250181252250771,0.11611110296401794
random_forest,chronological,search 16,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 4}",0.8128886812721203,0.7747904838520123,0.038013391938122434,0.017000105685796848,0.038098197420108004
random_forest,chronological,search 17,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_samples"": 0.7, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.9127152986200303,0.7954032477495712,0.030641817628136774,0.01370343743413304,0.11731205087045915
random_forest,chronological,search 18,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.871310020484716,0.789571357741728,0.03513767602204629,0.01571404643133198,0.08173866274298791
random_forest,chronological,search 19,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_samples"": 0.5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.8461007337269947,0.7857824879814135,0.03459547846253579,0.015471568311271989,0.0603182457455812
