protocol,model,train_pr_auc,oof_pr_auc,test_pr_auc,train_minus_test,oof_minus_test
stratified,xgboost,0.9960378750170118,0.8487814815214411,0.8330321077464237,0.16300576727058813,0.015749373775017395
stratified,random_forest,0.9313095222356008,0.8355503954106261,0.7866425678695813,0.1446669543660195,0.048907827541044835
stratified,logistic_regression,0.7590348142136272,0.7518033773765713,0.6825811762838582,0.076453637929769,0.06922220109271315
chronological,xgboost,0.9995003180855645,0.7876413053003116,0.7944601626951692,0.20504015539039533,-0.006818857394857547
chronological,random_forest,0.9186076452395305,0.7763085065274248,0.7825817969056831,0.13602584833384745,-0.0062732903782583005
chronological,logistic_regression,0.7439327783265816,0.6847345431734511,0.737271372067696,0.0066614062588855605,-0.052536828894244936
